usuario,grupo,EntGraf,password
usu_B_41412,GR_B,Y,12D7087D61
usu_C_99595,GR_C,Y,5CD356CE5
usu_B_89421,GR_B,Y,4AC8D3F2D
usu_D_30088,GR_D,N,13ACE7E31D
usu_B_72974,GR_B,Y,1265696830
usu_F_34305,GR_F,N,EC6B53DC7
usu_E_23412,GR_E,N,13F61CF243
usu_D_38132,GR_D,N,17206769CF
usu_C_90636,GR_C,Y,8BA0C724F
usu_E_71154,GR_E,N,13629C7B7F
usu_B_78594,GR_B,Y,36B56CA36
usu_A_43243,GR_A,Y,3E8E0FCB
usu_C_20866,GR_C,Y,53F2325A1
usu_D_36263,GR_D,N,14248CA155
usu_A_27727,GR_A,Y,B8BA7271
usu_C_80295,GR_C,Y,137FE948DC
usu_C_68796,GR_C,Y,33CC97735
usu_A_46639,GR_A,Y,D81E1AFEB
usu_C_72109,GR_C,Y,13DA5E60E3
usu_A_63962,GR_A,Y,16AB313AFD
usu_B_34990,GR_B,Y,107688232D
usu_E_72039,GR_E,N,A8A6E2B0E
usu_E_35669,GR_E,N,3542A3593
usu_B_36682,GR_B,Y,832758DE1
usu_D_46905,GR_D,N,106E43CB6E
usu_D_79834,GR_D,N,100AF79185
usu_B_28642,GR_B,Y,1354B9AE42
usu_C_33118,GR_C,Y,8DC19EC1B
usu_F_55559,GR_F,N,142E32C593
usu_C_37161,GR_C,Y,153479DDE
usu_E_96472,GR_E,N,58F3EC0DC
usu_E_15256,GR_E,N,1013780477
usu_B_20486,GR_B,Y,8FA78116C
usu_A_48101,GR_A,Y,C33F95D51
usu_B_61867,GR_B,Y,AF147DAD0
usu_A_44887,GR_A,Y,18FB885C1
usu_F_18554,GR_F,N,19FCEF643
usu_A_38191,GR_A,Y,447CDCB0E
usu_E_63584,GR_E,N,448DFCBC5
usu_A_83370,GR_A,Y,A73944C7F
usu_B_67275,GR_B,Y,C7B627B79
usu_D_69913,GR_D,N,1488153331
usu_C_47749,GR_C,Y,1F9988A12
usu_A_66169,GR_A,Y,162B47D0F5
usu_C_83554,GR_C,Y,BAA8D438D
usu_C_80209,GR_C,Y,2BDC72355
usu_C_13817,GR_C,Y,173B030A5A
usu_F_55272,GR_F,N,C962C3E15
usu_A_58175,GR_A,Y,6CAFB1AD8
usu_E_89883,GR_E,N,3587C4421
usu_D_98271,GR_D,N,BF892D70C
usu_C_65965,GR_C,Y,446166129
usu_D_84957,GR_D,N,C5F99BBB6
usu_A_35252,GR_A,Y,71ADBF420
usu_F_97570,GR_F,N,53E7710B7
usu_A_44029,GR_A,Y,16A44E45B2
usu_B_32849,GR_B,Y,13A40E1B03
usu_E_49730,GR_E,N,8F6F125F5
usu_F_42782,GR_F,N,1292023B49
usu_A_73084,GR_A,Y,164BAC8EC4
usu_D_71348,GR_D,N,DE5A3F1C1
usu_F_44649,GR_F,N,14E27D37F0
usu_A_16198,GR_A,Y,1A78216C8
usu_E_29541,GR_E,N,A6CE2DF68
usu_B_87447,GR_B,Y,1193BB55AA
usu_B_30494,GR_B,Y,FC4BA7E6E
usu_A_14044,GR_A,Y,B66AFC486
usu_E_24825,GR_E,N,1355FCC836
usu_E_79141,GR_E,N,DDE3716C0
usu_A_12518,GR_A,Y,32F0C27AB
usu_D_22266,GR_D,N,D2DF42348
usu_F_74440,GR_F,N,14EE9A5A2
usu_A_53164,GR_A,Y,BED72A422
usu_A_80457,GR_A,Y,F0913A375
usu_A_53296,GR_A,Y,19143F5FA
